Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Afghanistan,2022,1.281,8.7888,0.228,54.875,0.368,0.0658,0.733,South Asia
Afghanistan,2023,1.446,8.7888,0.368,55.2,0.228,0.0658,0.738,South Asia
Albania,2022,5.212,9.649,0.724,69.175,0.802,-0.07,0.846,Central and Eastern Europe
Albania,2023,5.445,9.689,0.691,69.2,0.872,0.068,0.855,Central and Eastern Europe
Algeria,2022,5.538,9.323,0.783,66.7,0.44,-0.045,0.611,Middle East and North Africa
Argentina,2022,6.261,10.019,0.893,67.25,0.825,-0.13,0.81,Latin America and Caribbean
Argentina,2023,6.393,9.994,0.892,67.3,0.832,-0.129,0.846,Latin America and Caribbean
Armenia,2022,5.382,9.683,0.811,67.925,0.79,-0.158,0.705,Commonwealth of Independent States
Armenia,2023,5.679,9.73,0.819,68.2,0.819,-0.179,0.681,Commonwealth of Independent States
Australia,2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,North America and ANZ
Australia,2023,7.025,10.846,0.896,71.2,0.876,0.187,0.482,North America and ANZ
Austria,2022,6.999,10.938,0.876,71.275,0.856,0.137,0.524,Western Europe
Austria,2023,6.636,10.93,0.874,71.4,0.874,0.209,0.529,Western Europe
Azerbaijan,2022,4.576,9.619,0.665,63.975,0.8,0.075,0.696,Commonwealth of Independent States
Azerbaijan,2023,5.214,9.637,0.713,64.1,0.829,-0.16,0.627,Commonwealth of Independent States
Bahrain,2023,5.959,10.877,0.817,65.6,0.869,0.155,0.7710869565217391,Middle East and North Africa
Bangladesh,2022,3.408,8.742,0.404,64.675,0.865,-0.058,0.617,South Asia
Bangladesh,2023,4.114,8.783,0.45,64.8,0.919,0.019,0.756,South Asia
Belgium,2022,6.857,10.881,0.923,71.05,0.89,0.095,0.483,Western Europe
Belgium,2023,6.944,10.883,0.896,71.2,0.87,0.065,0.522,Western Europe
Benin,2022,4.217,8.142,0.366,56.4,0.714,-0.033,0.58,Sub-Saharan Africa
Benin,2023,4.42,8.174,0.398,56.7,0.786,-0.073,0.575,Sub-Saharan Africa
Bolivia,2022,5.929,9.012,0.824,63.75,0.865,-0.083,0.84,Latin America and Caribbean
Bolivia,2023,5.86,9.025,0.786,63.9,0.832,-0.059,0.877,Latin America and Caribbean
Bosnia and Herzegovina,2022,5.872,9.723,0.856,67.35,0.743,0.191,0.933,Central and Eastern Europe
Bosnia and Herzegovina,2023,6.009,9.759,0.879,67.4,0.847,0.241,0.948,Central and Eastern Europe
Botswana,2022,3.435,9.65,0.75,54.725,0.739,-0.218,0.831,Sub-Saharan Africa
Botswana,2023,3.332,9.673,0.701,55.0,0.741,-0.264,0.814,Sub-Saharan Africa
Brazil,2022,6.257,9.622,0.866,65.925,0.83,-0.064,0.742,Latin America and Caribbean
Brazil,2023,6.553,9.635,0.856,66.1,0.87,-0.036,0.733,Latin America and Caribbean
Bulgaria,2022,5.378,10.197,0.953,66.6,0.741,-0.152,0.942,Central and Eastern Europe
